record_type,api_well_number,paleo_report_id,total_reports_for_api,surface_area,surface_block,lease_number,well_name,public_information_code,public_release_date,paleo_effective_date,paleo_report_source,paleo_reporter,drilling_operator,high_sample,low_sample,ecozone_eq_mms,first_sample_examined,borehole_measured_depth,true_vertical_depth,rkb_elevation,water_depth,surface_x_coordinate,surface_y_coordinate,surface_latitude,surface_longitude,remarks,source_file,source_line
H,608164025201,2,2,VK,956,G06893,A013,Y,2009-11-28,1999-11-13,OPERATOR,Bruce DeSelle,SHELL DEEPWATER PRODUCTION INC,23970.0,26228.0,Y,23970.0,26228.0,13500.0,191.0,3214.0,1291671.0,10548050.0,29.06093047,-88.09193926,"Ram-Powell Prospect, foram species abundance and diversity table available, see report for details",gepaldmp_Header.txt,12059
H,608164009800,2,1,VK,956,G06896,001,Y,1996-01-31,1990-08-26,OPERATOR,OPERATOR,SHELL OFFSHORE INC.,5845.0,12851.0,Y,5845.0,12860.0,12858.0,48.0,3112.0,1288565.0,10549215.0,29.06405557,-88.10169688,Ram-Powell Prospect,gepaldmp_Header.txt,12060
H,608164010700,1,1,VK,956,G06896,002,Y,1997-05-30,1987-05-15,OPERATOR,OPERATOR,BP AMERICA PRODUCTION COMPANY,5560.0,13600.0,Y,5560.0,13600.0,13598.0,46.0,3553.0,1292418.0,10541668.0,29.04339449,-88.08941622,Ram-Powell Prospect,gepaldmp_Header.txt,12061
H,608164013500,2,1,VK,957,G08475,001,Y,1999-04-19,1989-06-16,OPERATOR,OPERATOR,BP AMERICA PRODUCTION COMPANY,5438.0,14533.0,Y,5438.0,14533.0,13397.0,46.0,3492.0,1300872.0,10546149.0,29.05593258,-88.06308101,Ram-Powell Prospect,gepaldmp_Header.txt,12062
H,608164013501,2,1,VK,957,G08475,001,Y,1999-05-19,1990-11-27,OPERATOR,OPERATOR,BP AMERICA PRODUCTION COMPANY,12480.0,14077.0,,12480.0,14077.0,13100.0,46.0,3500.0,1300872.0,10546149.0,29.05593258,-88.06308101,"Ram-Powell Prospect, calcareous nannofossil report",gepaldmp_Header.txt,12063
H,608164045901,1,1,VK,959,G27247,SS001,Y,2025-02-20,2016-01-06,OPERATOR,"PALEO-DATA, INC.",LLOG EXPLORATION OFFSHORE LLC,13440.0,19800.0,Y,13440.0,19800.0,13203.0,108.0,4255.0,1345867.752428,10539853.984675,29.03965753,-87.92206597,"Crown & Anchor Prospect, consultant-integrated foram and nanno report, foram and nannofossil species abundance and diversity tables available, see report for details",gepaldmp_Header.txt,12064
H,608164045800,1,1,VK,959,G34874,SS001,Y,2025-03-20,2015-06-15,OPERATOR,"PALEO-DATA, INC.",LLOG EXPLORATION OFFSHORE LLC,8217.0,13850.0,Y,8217.0,13850.0,13805.0,108.0,4252.0,1345809.926005,10539970.455076,29.03997668,-87.92224982,"Crown & Anchor Prospect, consultant-integrated foram and nanno report, foram and nannofossil species abundance and diversity tables available, see report for details",gepaldmp_Header.txt,12065
H,608164039900,1,2,VK,962,G15445,SS001,Y,2011-12-15,2002-01-07,OPERATOR,"PALEO-DATA, INC.",MARINER ENERGY INC,6730.0,13075.0,Y,6730.0,13075.0,13074.0,60.0,4677.0,1380154.082019,10542297.062529,29.04707223,-87.81479723,"Swordfish Prospect, foram species abundance and diversity chart available, see report for details",gepaldmp_Header.txt,12066
H,608164039900,2,2,VK,962,G15445,SS001,Y,2011-12-15,2002-01-07,OPERATOR,"PALEO-DATA, INC.",TENNECO OIL COMPANY,6730.0,13075.0,,6730.0,13075.0,13074.0,60.0,4677.0,1380154.082019,10542297.062529,29.04707223,-87.81479723,"Swordfish Prospect, calcareous nannofossil report, nannospecies abundance and diversity chart available, see report for details",gepaldmp_Header.txt,12067
H,608164014500,1,1,VK,984,G09757,001,Y,1990-12-27,1990-01-09,OPERATOR,"PALEO-DATA, INC.",CONOCOPHILLIPS COMPANY,1640.0,13010.0,Y,1640.0,13002.0,11643.0,73.0,575.0,1044941.0,10528707.0,28.99923805,-88.86323924,,gepaldmp_Header.txt,12068
H,608164008400,1,2,VK,986,G05790,001,Y,1988-06-30,1989-09-10,OPERATOR,OPERATOR,ATLANTIC RICHFIELD COMPANY,1900.0,10768.0,Y,1900.0,10769.0,10769.0,64.0,796.0,1061319.0,10521775.0,28.98087667,-88.81168167,,gepaldmp_Header.txt,12069
H,608164008400,2,2,VK,986,G05790,001,Y,1988-06-30,1990-04-02,OPERATOR,"PALEO-DATA, INC.",ATLANTIC RICHFIELD COMPANY,1900.0,10768.0,Y,1900.0,10769.0,10769.0,64.0,796.0,1061319.0,10521775.0,28.98087667,-88.81168167,,gepaldmp_Header.txt,12070
H,608164008401,1,2,VK,986,G05790,001,Y,1988-06-30,1989-09-10,OPERATOR,OPERATOR,ATLANTIC RICHFIELD COMPANY,4675.0,11499.0,Y,7015.0,11499.0,10108.0,64.0,796.0,1061319.0,10521775.0,28.98087667,-88.81168167,,gepaldmp_Header.txt,12071
H,608164008401,2,2,VK,986,G05790,001,Y,1988-06-30,1990-04-02,OPERATOR,"PALEO-DATA, INC.",ATLANTIC RICHFIELD COMPANY,4675.0,11499.0,Y,4675.0,11499.0,10108.0,64.0,796.0,1061319.0,10521775.0,28.98087667,-88.81168167,,gepaldmp_Header.txt,12072
H,608164011900,1,1,VK,986,G05790,002,Y,1988-06-30,1990-03-27,OPERATOR,OPERATOR,CHEVRON USA INC,2030.0,7180.0,,2030.0,7180.0,7180.0,83.0,879.0,1072970.0,10522055.0,28.98213266,-88.77525978,,gepaldmp_Header.txt,12073
H,608164012300,1,1,VK,986,G05822,001,Y,1988-06-27,1989-10-20,OPERATOR,OPERATOR,CHEVRON USA INC,1900.0,10222.0,Y,2510.0,10222.0,7880.0,82.0,914.0,1071720.0,10519960.0,28.97631994,-88.77907026,,gepaldmp_Header.txt,12074
